MATNR	ZZVWERK
5777800220	ASCO
5777805270	ASCO
5777810220	ASCO
5777815270	ASCO
5777820220	ASCO
5777825270	ASCO
5777825280	ASCO
7472860105	ASCO
7472B00866	ASCO
7472B01413	ASCO
7472B02380	ASCO
7472B02390	ASCO
7472D02817	ASCO
7472D02818	ASCO
7472D02819	ASCO
7472D02820	ASCO
7472D02821	ASCO
7472D02822	ASCO
7472D02823	ASCO
7472D02824	ASCO
7472D02825	ASCO
7472D02826	ASCO
7472D02827	ASCO
7472D02828	ASCO
7472D02829	ASCO
7472D02830	ASCO
7472D02831	ASCO
7472D02832	ASCO
7472D02834	ASCO
7472D02835	ASCO
7472D02836	ASCO
7472D02837	ASCO
7472D02838	ASCO
7472D02839	ASCO
7472D02840	ASCO
7472D03267	ASCO
7472D03268	ASCO
8971542024	ASCO
EM70000020	ASCO
EM70000021	ASCO
EM70000022	ASCO
EM70000023	ASCO
EM70000024	ASCO
EM70000025	ASCO
EM70000026	ASCO
EM70000027	ASCO
EM70000028	ASCO
EM70000029	ASCO
EM70000030	ASCO
EM70000031	ASCO
EM70000032	ASCO
EM70000033	ASCO
EM70000034	ASCO
EM70000035	ASCO
EM70000036	ASCO
EM70000037	ASCO
EM70000038	ASCO
EM70000040	ASCO
EM70000041	ASCO
EM70000042	ASCO
EM70000043	ASCO
EM70000044	ASCO
EM70000045	ASCO
EM70000046	ASCO
EM70000047	ASCO
EM70000048	ASCO
EM70000049	ASCO
EM70000050	ASCO
EM70000051	ASCO
EM70000052	ASCO
EM70000053	ASCO
EM70000054	ASCO
EM70000055	ASCO
EM70000056	ASCO
EM70000057	ASCO
EM70000058	ASCO
EM70000059	ASCO
EM70000060	ASCO
EM70000061	ASCO
EM70000062	ASCO
EM70000063	ASCO
EM70000064	ASCO
EM70000065	ASCO
EM70000066	ASCO
EM70000067	ASCO
EM70000068	ASCO
EM70000069	ASCO
EM70000070	ASCO
EM70000071	ASCO
EM70000072	ASCO
EM70000073	ASCO
EM70000074	ASCO
EM70000075	ASCO
EM70000076	ASCO
EM70000077	ASCO
EM70000078	ASCO
EM70000079	ASCO
EM70000080	ASCO
EM70000081	ASCO
EM70000082	ASCO
EM70000083	ASCO
EM70000084	ASCO
EM70000085	ASCO
EM70000086	ASCO
EM70000087	ASCO
EM70000088	ASCO
EM70000089	ASCO
EM70000090	ASCO
EM70000091	ASCO
EM70000092	ASCO
EM70000093	ASCO
EM70000094	ASCO
EM70000095	ASCO
EM70000096	ASCO
EM70000097	ASCO
EM70000098	ASCO
EM70000099	ASCO
EM70000100	ASCO
EM70000101	ASCO
EM70000102	ASCO
EM70000103	ASCO
EM70000104	ASCO
EM70000105	ASCO
EM70000106	ASCO
EM70000107	ASCO
EM70000108	ASCO
EM70000109	ASCO
EM70000110	ASCO
EM70000111	ASCO
EM70000112	ASCO
EM70000113	ASCO
EM70000114	ASCO
EM70000115	ASCO
EM70000116	ASCO
EM70000117	ASCO
EM70000118	ASCO
EM70000119	ASCO
EM70000120	ASCO
EM70000121	ASCO
EM70000122	ASCO
EM70000123	ASCO
EM70000124	ASCO
EM70000125	ASCO
EM70000126	ASCO
EM70000127	ASCO
EM70000128	ASCO
EM70000129	ASCO
EM70000130	ASCO
EM70000131	ASCO
EM70000132	ASCO
EM70000133	ASCO
EM70000134	ASCO
EM70000135	ASCO
EM70000136	ASCO
EM70000137	ASCO
EM70000138	ASCO
EM70000139	ASCO
EM70000140	ASCO
EM70000141	ASCO
EM70000142	ASCO
EM70000143	ASCO
EM70000144	ASCO
EM70000145	ASCO
EM70000146	ASCO
EM70000147	ASCO
EM70000148	ASCO
EM70000149	ASCO
EM70000150	ASCO
EM70000151	ASCO
EM70000152	ASCO
EM70000153	ASCO
EM70000154	ASCO
EM70000155	ASCO
EM70000156	ASCO
EM70000157	ASCO
EM70000158	ASCO
EM70000159	ASCO
EM70000160	ASCO
EM70000161	ASCO
EM70000162	ASCO
EM70000163	ASCO
EM70000164	ASCO
EM70000165	ASCO
EM70000166	ASCO
EM70000167	ASCO
EM70000168	ASCO
EM70000169	ASCO
EM70000170	ASCO
EM70000171	ASCO
EM70000172	ASCO
EM70000173	ASCO
EM70000174	ASCO
EM70000175	ASCO
EM70000176	ASCO
EM70000177	ASCO
EM70000178	ASCO
EM70000179	ASCO
EM70000180	ASCO
EM70000181	ASCO
EM70000182	ASCO
EM70000183	ASCO
EM70000184	ASCO
EM70000185	ASCO
EM70000186	ASCO
EM70000187	ASCO
EM70000188	ASCO
EM70000189	ASCO
EM70000190	ASCO
EM70000191	ASCO
EM70000192	ASCO
EM70000193	ASCO
EM70000194	ASCO
EM70000195	ASCO
EM70000196	ASCO
EM70000197	ASCO
EM70000198	ASCO
EM70000199	ASCO
EM70000200	ASCO
EM70000201	ASCO
EM70000202	ASCO
EM70000203	ASCO
EM70000204	ASCO
EM70000205	ASCO
EM70000206	ASCO
EM70000207	ASCO
EM70000208	ASCO
EM70000209	ASCO
EM70000210	ASCO
EM70000211	ASCO
EM70000212	ASCO
EM70000213	ASCO
EM70000214	ASCO
EM70000215	ASCO
EM70000216	ASCO
EM70000217	ASCO
EM70000218	ASCO
EM70000219	ASCO
EM70000220	ASCO
EM70000221	ASCO
EM70000222	ASCO
EM70000223	ASCO
EM70000224	ASCO
EM70000225	ASCO
EM70000226	ASCO
EM70000227	ASCO
EM70000228	ASCO
EM70000229	ASCO
EM70000230	ASCO
EM70000231	ASCO
EM70000232	ASCO
EM70000233	ASCO
EM70000234	ASCO
EM70000235	ASCO
EM70000236	ASCO
EM70000237	ASCO
EM70000238	ASCO
EM70000239	ASCO
EM70000240	ASCO
EM70000241	ASCO
EM70000242	ASCO
EM70000243	ASCO
EM70000244	ASCO
EM70000245	ASCO
EM70000246	ASCO
EM70000247	ASCO
EM70000248	ASCO
EM70000249	ASCO
EM70000250	ASCO
EM70000251	ASCO
EM70000252	ASCO
EM70000253	ASCO
